"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","Population, total","SP.POP.TOTL","165477","172346","179349","186501","193816","200866","207543","214189","219337","222469","224809","230733","242113","255320","269038","283243","297863","312823","328046","343457","358978","373524","386983","400707","415154","430358","446286","462854","479929","497327","514797","503052","516458","530225","544366","558879","573792","589115","604842","620989","637582","661316","710553","764517","823741","888822","960424","1039295","1103496","1178415","1228543","1195020","1208964","1253191","1314562","1370322","1423726","1501116","1503091","1483756","1472204","1504365","1524693","1577059","",
"Bahamas, The","BHS","Population, total","SP.POP.TOTL","116317","122197","128493","135087","141528","147952","154874","162267","170089","177981","184982","190857","196055","200791","205342","209886","214501","219157","223761","228230","232526","236614","240614","244698","248863","253154","257536","261935","266448","271178","275945","280731","285927","291339","296509","301461","306268","310904","315368","319614","323835","327836","331614","335618","339782","343894","348375","353334","358120","362810","367478","371729","375469","378953","382298","385346","388055","390485","392717","394675","395863","396373","397538","399440","",
"Bosnia and Herzegovina","BIH","Population, total","SP.POP.TOTL","3281381","3348035","3407532","3461942","3513441","3562834","3610562","3656223","3698794","3737765","3773247","3809376","3848271","3887376","3926472","3965743","4004552","4042124","4078240","4113300","4148426","4184217","4221100","4258728","4295536","4330364","4362115","4390246","4414404","4433983","4448652","4458343","4234616","3904482","3725412","3715564","3875246","4018227","4089356","4130305","4159771","4179438","4188002","4178523","4140987","4096493","4063272","4013424","3947544","3879794","3811472","3741798","3670113","3610859","3564829","3518541","3473003","3428682","3387000","3345533","3299349","3244907","3204802","3185073","",
"Belarus","BLR","Population, total","SP.POP.TOTL","8198000","8271216","8351928","8437232","8524224","8610000","8696496","8785648","8874552","8960304","9040000","9115576","9188968","9257272","9317584","9367000","9411000","9463000","9525000","9584000","9643000","9710000","9776000","9843000","9910000","9975000","10043000","10111000","10140000","10170000","10189348","10194050","10216470","10239050","10226955","10193831","10159569","10117433","10071963","10026738","9979610","9928549","9865548","9796749","9730146","9663915","9604924","9560953","9527985","9504583","9483836","9461643","9446836","9443211","9448515","9461076","9469379","9458989","9438785","9419758","9379952","9302585","9228071","9178298","",
"Belize","BLZ","Population, total","SP.POP.TOTL","91318","93632","96042","98704","101603","104675","107906","111272","114713","118040","120736","122805","124676","126445","128185","130387","133099","135887","138713","141678","145062","148786","152548","156297","160044","163796","167554","171338","175180","179107","183076","187040","190983","194902","199097","204146","210310","217446","225173","233059","240799","248379","256009","263780","271688","279731","287878","296100","304361","312614","320245","327298","334414","341627","348923","356333","364705","373202","380226","385829","390812","395346","402733","411106","",
"Bermuda","BMU","Population, total","SP.POP.TOTL","42208","43123","44239","45340","46410","47461","48534","49514","50404","51306","52124","52607","52803","52946","53056","53129","53210","53322","53431","53517","53673","53997","54387","54777","55169","55547","55889","56265","56699","57129","57559","57984","58407","58816","59194","59526","59813","60177","60639","61124","61550","61867","62142","62386","62555","62711","62834","63010","63300","63565","63725","63733","63646","63574","63529","63464","63449","63578","63831","64107","64382","64648","64749","64698","",
"Bolivia","BOL","Population, total","SP.POP.TOTL","3702323","3778731","3857493","3938913","4022996","4109796","4199550","4292572","4388944","4488232","4590010","4694342","4800978","4910200","5022475","5137539","5256496","5379166","5504123","5630849","5758900","5888109","6018088","6149060","6281868","6416185","6552479","6692162","6835508","6981766","7130142","7280289","7430336","7579195","7727322","7874676","8021736","8167900","8313394","8459806","8606326","8752736","8900355","9050700","9204287","9360754","9521689","9685960","9850858","10016275","10182345","10348929","10515807","10682608","10848888","11014705","11180020","11344587","11508368","11671386","11816299","11937360","12077154","12244159","",
"Brazil","BRA","Population, total","SP.POP.TOTL","72388126","74605447","76865323","79164235","81488595","83817583","86139359","88446124","90741240","93045777","95375651","97739273","100146797","102600976","105089675","107619565","110213349","112875292","115600942","118380821","121207461","124063109","126923155","129790077","132658864","135515595","138336370","141104944","143826357","146502972","149143223","151724256","154275079","156794577","159265006","161735073","164202549","166661659","169159655","171641543","174018282","176301203","178503484","180622688","182675143","184688101","186653106","188552320","190367302","192079951","193701929","195284734","196876111","198478299","200085127","201675532","203218114","204703445","206107261","207455459","208660842","209550294","210306415","211140729","",
"Barbados","BRB","Population, total","SP.POP.TOTL","230893","233148","235224","237557","239958","242417","244996","247091","248540","249444","249387","249168","249658","250322","250777","251175","251442","251626","251551","251269","251524","252270","253095","253992","254920","255820","256618","257279","257763","258109","258582","259373","260267","261027","261620","262039","262284","262392","262436","262517","262063","262425","264148","265776","267298","268706","270002","271288","272714","274123","275243","276139","276938","277665","278348","278990","279598","280171","280711","281207","281698","282147","282318","282336","",
"Brunei Darussalam","BRN","Population, total","SP.POP.TOTL","88347","92517","96719","101159","105922","110838","115874","121017","126222","131446","135138","137921","142189","147369","152656","158070","163607","169277","174884","180422","186111","191977","198165","204741","211661","218919","226495","233860","240913","248064","255292","262596","269839","276971","284091","291195","298276","305341","312385","319411","326424","333345","340099","346637","352911","358916","364663","370873","377793","384952","392332","399389","405557","411202","416750","422212","427564","432772","437810","442680","447404","451721","455370","458949","",
"Bhutan","BTN","Population, total","SP.POP.TOTL","224084","230602","237636","245156","252987","261200","269820","278852","288311","298214","308528","319211","330264","341705","353538","365791","378490","391639","405243","419200","433404","447836","462485","477460","492784","508392","524324","540557","556986","573586","589287","599784","577774","554673","554497","547989","548784","558697","569435","582579","596863","610794","624409","637663","650544","661865","670799","678641","686351","693988","701632","709377","717279","725273","733139","740618","747866","754335","759759","764824","770006","775442","780914","786385","",
"Botswana","BWA","Population, total","SP.POP.TOTL","516165","527942","540186","552966","566266","574664","577866","580933","583966","587066","590334","600481","622407","652408","685448","720380","758508","799574","849239","901742","937485","969996","1009269","1046137","1083660","1121945","1160650","1199167","1235476","1270274","1305696","1341756","1380033","1420115","1460023","1498836","1535914","1571691","1606899","1641997","1677382","1712254","1744763","1775736","1807146","1839877","1874516","1911201","1949970","1990673","2033111","2073535","2108617","2140682","2172044","2203273","2234776","2266747","2299141","2332083","2365894","2401441","2439892","2480244","",
"Central African Republic","CAF","Population, total","SP.POP.TOTL","1702346","1734580","1768115","1803063","1839583","1877854","1918082","1960444","2005100","2051515","2097505","2141450","2183769","2226008","2269338","2313916","2348566","2372930","2397961","2423794","2450535","2478402","2507375","2537399","2568610","2600932","2634258","2669155","2713965","2783970","2871910","2963191","3058831","3157839","3257954","3348052","3435965","3531700","3628827","3729450","3833416","3919487","4006077","4103086","4192826","4288810","4377579","4462770","4558984","4529047","4492995","4565021","4610848","4642419","4623182","4629320","4713663","4793511","4878657","4944703","5026628","5112100","5098039","5152421","",
"Canada","CAN","Population, total","SP.POP.TOTL","17909356","18271000","18614000","18964000","19325000","19678000","20048000","20412000","20744000","21028000","21324000","21962032","22218463","22491777","22807969","23143275","23449808","23725843","23963203","24201544","24515667","24819915","25116942","25366451","25607053","25842116","26100278","26446601","26791747","27276781","27691138","28037420","28371264","28684764","29000663","29302311","29610218","29905948","30155173","30401286","30685730","31020855","31359199","31642461","31938807","32242732","32571193","32888886","33247298","33630069","34005902","34339221","34713395","35080992","35434066","35704498","36110803","36545075","37072620","37618495","38028638","38239864","38939056","40097761","",
"Central Europe and the Baltics","CEB","Population, total","SP.POP.TOTL","91401764","92232738","93009498","93840016","94715795","95440988","96146336","97043270","97884022","98606630","99134548","99635258","100357161","101112680","101939916","102860571","103776068","104616884","105329397","105948616","106541316","107129392","107730380","108297837","108838073","109338285","109824166","110296425","110686740","110801640","110743128","110469467","110111454","110041924","110021594","109864246","109626194","109422013","109238340","109060951","108447824","107660041","106959751","106624167","106331716","106041911","105772481","105378748","105001883","104800475","104421447","104174038","103928128","103691959","103459388","103206007","102926796","102656954","102439383","102282674","102046650","100647592","100289401","100175859","",
"Switzerland","CHE","Population, total","SP.POP.TOTL","5327827","5434294","5573815","5694247","5789228","5856472","5918002","5991785","6067714","6136387","6180877","6213399","6260956","6307347","6341405","6338632","6302504","6281174","6281738","6294365","6319408","6354074","6391309","6418773","6441865","6470365","6504124","6545106","6593386","6646912","6715519","6799978","6875364","6938265","6993795","7040687","7071850","7088906","7110001","7143991","7184250","7229854","7284753","7339001","7389625","7437115","7483934","7551117","7647675","7743831","7824909","7912398","7996861","8089346","8188649","8282396","8373338","8451840","8514329","8575280","8638167","8704546","8777088","8888093","",
"Channel Islands","CHI","Population, total","SP.POP.TOTL","110808","111782","112953","114234","115561","116879","118186","119505","120793","122039","123288","124555","125764","126873","127893","128781","129391","129726","129981","130220","130462","131078","132172","133413","134727","136075","137413","138743","140089","141501","143087","144269","144733","144984","145163","145247","145565","146214","146906","147554","148110","148850","149881","150960","152039","153126","154214","155309","156408","157511","158621","159706","160767","161777","162726","163454","163883","164319","164949","165639","166235","166741","167215","167691","",
"Chile","CHL","Population, total","SP.POP.TOTL","8153350","8324802","8497059","8670144","8842525","9012938","9181722","9348939","9514716","9680282","9845344","10009701","10174678","10340362","10505817","10671559","10838251","11005519","11172695","11339779","11508550","11678717","11850214","12026138","12207733","12395274","12588914","12790150","12999424","13215005","13437176","13662491","13884577","14102276","14316256","14527381","14734046","14932434","15127799","15319313","15503635","15683849","15857925","16024752","16187322","16348778","16509195","16671581","16838988","17009731","17181464","17351816","17519119","17687006","17864195","18047625","18267221","18558868","18893191","19197744","19370624","19456334","19553036","19658835","",
